Date,Time,Temperature
10/19/2023,6:08:19,28.3
10/19/2023,6:22:22,28.5
10/19/2023,6:36:25,28.6
10/19/2023,6:50:28,28.5
10/19/2023,7:04:30,28.5
10/19/2023,7:18:34,28.7
10/19/2023,7:32:37,29
10/19/2023,7:46:41,28.6
10/19/2023,8:00:43,28.6
10/19/2023,8:14:46,28.6
10/19/2023,8:28:49,28.6
10/19/2023,8:42:52,28.6
10/19/2023,8:56:55,28.6
10/19/2023,9:10:58,28.6
10/19/2023,9:25:01,28.8
10/19/2023,9:39:04,29
10/19/2023,9:53:06,29.1
10/19/2023,10:07:09,29.1
10/19/2023,10:21:12,28.7
10/19/2023,10:35:15,29.1
10/19/2023,10:49:18,28.8
10/19/2023,11:03:21,28.7
10/19/2023,11:17:25,28.6
10/19/2023,11:31:28,28.5
10/19/2023,11:45:31,28.1
10/19/2023,11:59:34,28.7
10/19/2023,12:13:37,28.6
10/19/2023,12:27:41,28.6
10/19/2023,12:41:44,28.6
10/19/2023,12:55:47,28.6
10/19/2023,13:09:50,28.5
10/19/2023,13:23:53,28.5
10/19/2023,13:37:56,28.4
10/19/2023,13:52:00,28.5
10/19/2023,14:06:03,28.5
10/19/2023,14:20:05,28.5
10/19/2023,14:34:08,28.5
10/19/2023,14:48:12,28.6
10/19/2023,15:02:15,28.5
10/19/2023,15:16:17,28.5
10/19/2023,15:30:20,28.5
10/19/2023,15:44:23,28.5
10/19/2023,15:58:26,28.5
10/19/2023,16:12:30,28.5
10/19/2023,16:26:33,28.5
10/19/2023,16:40:36,28.5
10/19/2023,16:54:39,28.4
10/19/2023,17:08:42,28.4
10/19/2023,17:22:44,28.3
10/19/2023,17:36:47,28
10/19/2023,17:50:51,28.4
10/19/2023,18:04:54,28.4
10/19/2023,18:18:56,28.3
10/19/2023,18:32:59,28.2
10/19/2023,18:47:02,27.7
10/19/2023,19:01:05,28.7
10/19/2023,19:15:07,28.9
10/19/2023,19:29:09,28.4
10/19/2023,19:43:14,28.4
10/19/2023,19:57:18,28.5
10/19/2023,20:11:21,28.4
10/19/2023,20:25:24,28.5
10/19/2023,20:39:27,28.4
10/19/2023,20:53:30,28.2
10/19/2023,21:07:33,28.2
10/19/2023,21:21:36,28.2
10/19/2023,21:35:39,28.2
10/19/2023,21:49:42,28.2
10/19/2023,22:03:45,28.4
10/19/2023,22:17:48,28.1
10/19/2023,22:31:51,27.9
10/19/2023,22:45:54,28.4
10/19/2023,22:59:57,28.3
10/19/2023,23:14:00,28.3
10/19/2023,23:28:03,28.1
10/19/2023,23:42:06,28.1
10/19/2023,23:56:09,28.1
10/20/2023,0:10:12,28.8
10/20/2023,0:24:16,28.3
10/20/2023,0:38:18,28.6
10/20/2023,0:52:21,28.8
10/20/2023,1:06:24,28.7
10/20/2023,1:20:27,28.7
10/20/2023,1:34:30,28.7
10/20/2023,1:48:32,28.8
10/20/2023,2:02:36,28.9
10/20/2023,2:16:39,28.8
10/20/2023,2:30:41,28.7
10/20/2023,2:44:46,28.7
10/20/2023,2:58:49,28.6
10/20/2023,3:12:52,28.7
10/20/2023,3:26:55,28.7
10/20/2023,3:40:58,28.8
10/20/2023,3:55:01,28.7
10/20/2023,4:09:05,28.6
10/20/2023,4:39:08,28.6
10/20/2023,5:07:18,28.1
10/20/2023,5:49:35,28
10/20/2023,6:03:44,27.9
10/20/2023,6:17:47,28
10/20/2023,6:31:50,28
10/20/2023,6:45:54,28
10/20/2023,6:59:57,28
10/20/2023,7:14:00,28.1
10/20/2023,7:28:04,28.3
10/20/2023,7:42:07,28.4
10/20/2023,7:56:10,28.4
10/20/2023,8:10:13,28.4
10/20/2023,8:24:16,28.4
10/20/2023,8:38:20,28.4
10/20/2023,8:52:23,28.4
10/20/2023,9:06:27,28.4
10/20/2023,9:20:30,28.5
10/20/2023,9:34:33,28.4
10/20/2023,9:48:36,28.5
10/20/2023,10:02:39,28.4
10/20/2023,10:16:42,28.5
10/20/2023,10:30:46,28.5
10/20/2023,10:44:49,28.5
10/20/2023,10:58:52,28.5
10/20/2023,11:12:57,28.6
10/20/2023,11:27:00,28.6
10/20/2023,11:41:03,28.5
10/20/2023,11:55:06,28.6
10/20/2023,12:09:10,28.6
10/20/2023,12:23:13,28.6
10/20/2023,12:37:16,28.6
10/20/2023,12:51:19,28.6
10/20/2023,13:05:22,28.6
10/20/2023,13:19:27,28.8
10/20/2023,13:33:30,29.1
10/20/2023,13:47:36,29.1
10/20/2023,14:01:39,29.3
10/20/2023,14:15:44,28.7
10/20/2023,14:29:48,29.2
10/20/2023,14:43:52,28.9
10/20/2023,14:57:55,28.9
10/20/2023,15:11:58,28.9
10/20/2023,15:26:01,28.9
10/20/2023,15:40:05,28.9
10/20/2023,15:54:08,28.9
10/20/2023,16:08:12,28.9
10/20/2023,16:22:15,28.2
10/20/2023,16:36:18,28.1
10/20/2023,16:50:21,28.2
10/20/2023,17:04:24,28.2
10/20/2023,17:18:28,28.2
10/20/2023,17:32:31,28.2
10/20/2023,17:46:34,28.2
10/20/2023,18:00:37,28.1
10/20/2023,18:14:40,28.2
10/20/2023,18:28:43,28.1
10/20/2023,18:42:47,28.2
10/20/2023,18:56:50,28.2
10/20/2023,19:10:53,28.2
10/20/2023,19:24:56,28.5
10/20/2023,19:38:59,28.6
10/20/2023,19:53:02,28.6
10/20/2023,20:21:06,29
10/20/2023,20:35:12,29.5
10/20/2023,20:49:15,29.5
10/21/2023,4:44:23,27.2
10/21/2023,5:14:42,27.8
10/21/2023,5:30:47,28
10/21/2023,5:44:49,28
10/21/2023,5:58:52,28.1
10/21/2023,6:10:36,27.6
10/21/2023,6:26:46,27.7
10/21/2023,6:40:49,27.6
10/21/2023,6:54:51,28
10/21/2023,7:08:54,28.1
10/21/2023,7:22:57,28.2
10/21/2023,7:37:00,28.2
10/21/2023,7:51:02,28.2
10/21/2023,8:05:05,28.1
10/21/2023,8:19:08,28.1
10/21/2023,8:33:10,28
10/21/2023,8:47:13,27.5
10/21/2023,9:01:16,27.6
10/21/2023,9:15:19,28.2
10/21/2023,9:29:22,28
10/21/2023,9:43:25,28.2
10/21/2023,9:57:28,28.2
10/21/2023,10:11:31,28.2
10/21/2023,10:25:34,28.2
10/21/2023,10:39:37,28.3
10/21/2023,10:53:39,28.2
10/21/2023,11:07:43,28.2
10/21/2023,11:21:45,28.3
10/21/2023,11:35:48,28.3
10/21/2023,11:49:52,27.6
10/21/2023,12:03:55,27.8
10/21/2023,12:17:57,28.2
10/21/2023,12:32:00,28.3
10/21/2023,12:46:03,28.3
10/21/2023,13:00:06,28.3
10/21/2023,13:14:09,28.5
10/21/2023,13:28:12,28.5
10/21/2023,13:42:15,28.6
10/21/2023,13:56:18,28.7
10/21/2023,14:10:20,28.1
10/21/2023,14:24:24,28.5
10/21/2023,14:38:26,28
10/21/2023,14:52:29,28.6
10/21/2023,15:06:32,28.6
10/21/2023,15:20:34,28.4
10/21/2023,15:34:37,28.4
10/21/2023,15:48:40,28.3
10/21/2023,16:02:43,27.8
10/21/2023,16:16:45,28.4
10/21/2023,16:30:48,28.4
10/21/2023,16:44:50,28.3
10/21/2023,16:58:53,28.3
10/21/2023,17:12:56,28.4
10/21/2023,17:26:59,28.4
10/21/2023,17:41:02,28.1
10/21/2023,17:55:04,28.1
10/21/2023,18:09:07,28.6
10/21/2023,18:23:09,28.6
10/21/2023,18:37:12,28.7
10/21/2023,18:51:15,28.6
10/21/2023,19:05:18,28.7
10/21/2023,19:19:21,28.8
10/21/2023,19:33:23,28.2
10/21/2023,19:47:26,28.6
10/21/2023,20:01:29,28.7
10/21/2023,20:15:32,28.7
10/21/2023,20:29:35,28.6
10/21/2023,20:43:38,28.1
10/21/2023,20:57:41,28.7
10/21/2023,21:11:44,28.7
10/21/2023,21:25:46,28.7
10/21/2023,21:39:49,28.6
10/21/2023,21:53:52,28.6
10/21/2023,22:07:54,28.6
10/21/2023,22:21:57,28.7
10/21/2023,22:36:00,28.7
10/21/2023,22:50:04,28.7
10/21/2023,23:04:06,28.6
10/21/2023,23:18:09,28.6
10/21/2023,23:32:12,28.6
10/21/2023,23:46:16,28.6
10/22/2023,0:00:18,28.6
10/22/2023,0:14:21,28.4
10/22/2023,0:28:24,28.4
10/22/2023,0:42:27,28.4
10/22/2023,0:56:30,28.1
10/22/2023,1:10:33,28.1
10/22/2023,1:24:35,27.9
10/22/2023,1:38:38,28.2
10/22/2023,1:52:41,28.3
10/22/2023,2:06:44,28.5
10/22/2023,2:20:48,28.5
10/22/2023,2:34:51,28.1
10/22/2023,2:48:55,28.1
10/22/2023,3:02:57,28.3
10/22/2023,3:17:00,28.2
10/22/2023,3:31:03,28.2
10/22/2023,3:45:06,28.2
10/22/2023,3:59:09,27.3
10/22/2023,4:13:12,27.1
10/22/2023,4:27:14,26.8
10/22/2023,4:41:17,27.1
10/22/2023,4:55:20,27
10/22/2023,5:09:23,27.3
10/22/2023,5:23:25,27
10/22/2023,5:37:28,27
10/22/2023,5:51:31,27.3
10/22/2023,6:05:33,27
10/22/2023,6:19:36,27
10/22/2023,6:33:39,26.9
10/22/2023,6:47:42,26.9
10/22/2023,7:01:45,26.4
10/22/2023,7:15:48,26.7
10/22/2023,7:29:51,27
10/22/2023,7:43:53,27.4
10/22/2023,7:57:56,27.2
10/22/2023,8:11:59,27.6
10/22/2023,8:26:02,27.6
10/22/2023,8:40:04,27.6
10/22/2023,8:54:07,27.6
10/22/2023,9:08:14,27.8
10/22/2023,9:22:16,27.8
10/22/2023,9:36:19,27.9
10/22/2023,9:50:22,27.4
10/22/2023,10:04:26,28
10/22/2023,10:18:29,28.1
10/22/2023,10:32:32,28
10/22/2023,10:46:34,28
10/22/2023,11:00:37,28
10/22/2023,11:14:40,28.1
10/22/2023,11:28:43,28.1
10/22/2023,11:42:46,27.7
10/22/2023,11:56:48,28.2
10/22/2023,12:10:51,28.2
10/22/2023,12:24:54,28.2
10/22/2023,12:38:57,28.3
10/22/2023,12:53:00,27.8
10/22/2023,13:07:02,28.1
10/22/2023,13:21:05,28.1
10/22/2023,13:35:08,28
10/22/2023,13:49:12,28.4
10/22/2023,14:03:14,28.4
10/22/2023,14:17:17,28.4
10/22/2023,14:31:20,28.2
10/22/2023,14:45:24,28.1
10/22/2023,16:35:16,28.1
10/22/2023,16:49:21,28
10/22/2023,17:03:25,28
10/22/2023,17:17:29,28
10/22/2023,17:45:51,28
10/22/2023,17:59:55,27.9
10/22/2023,18:14:01,27.8
10/22/2023,18:28:05,27.6
10/22/2023,18:56:19,27.6
10/22/2023,19:10:23,27.5
10/22/2023,19:24:26,27.6
10/22/2023,19:38:29,27.6
10/22/2023,19:52:32,27.8
10/22/2023,20:06:34,27.9
10/22/2023,20:20:38,27.8
10/22/2023,20:34:40,28.2
10/22/2023,20:48:43,28.5
10/22/2023,21:02:45,28.5
10/22/2023,21:16:50,28.1
10/22/2023,21:30:53,27.9
10/22/2023,21:44:56,27.9
10/22/2023,21:58:59,27.9
10/22/2023,22:13:03,27.9
10/22/2023,22:27:06,27.9
10/22/2023,22:41:14,27.8
10/22/2023,22:55:16,27.8
10/22/2023,23:09:19,27.8
10/22/2023,23:23:23,27.7
10/22/2023,23:37:26,27.3
10/22/2023,23:51:29,27.6
10/23/2023,0:14:07,28.1
10/23/2023,0:35:32,28.1
10/23/2023,0:49:35,27.8
10/23/2023,1:03:39,28.3
10/23/2023,1:17:43,28.3
10/23/2023,1:31:46,28.3
10/23/2023,1:45:50,28.3
10/23/2023,1:59:53,28.3
10/23/2023,2:13:57,28.3
10/23/2023,2:28:01,28.3
10/23/2023,2:42:05,28.3
10/23/2023,2:56:09,28.3
10/23/2023,3:10:12,28.3
10/23/2023,3:24:15,28.3
10/23/2023,3:38:19,28.3
10/23/2023,3:52:23,28.2
10/23/2023,4:06:26,28.3
10/23/2023,4:20:30,28.3
10/23/2023,4:34:33,28.3
10/23/2023,4:48:36,28.3
10/23/2023,5:21:46,28.1
10/23/2023,5:35:04,27.6
10/23/2023,5:49:15,27.6
10/23/2023,6:03:19,28
10/23/2023,6:17:23,28.1
10/23/2023,6:31:27,27.5
10/23/2023,6:45:30,27.2
10/23/2023,6:59:34,26.6
10/23/2023,7:13:38,26.8
10/23/2023,7:27:42,26.7
10/23/2023,7:41:45,26.8
10/23/2023,7:55:49,26.7
10/23/2023,8:09:53,27
10/23/2023,8:23:56,26.9
10/23/2023,8:38:00,27
10/23/2023,8:52:04,27.1
10/23/2023,9:06:07,26.8
10/23/2023,9:20:11,27
10/23/2023,9:34:15,26.7
10/23/2023,9:48:19,26.8
10/23/2023,10:02:22,26.8
10/23/2023,10:16:26,27.1
10/23/2023,10:30:29,27
10/23/2023,10:44:34,27.2
10/23/2023,10:58:38,27
10/23/2023,11:12:42,27.3
10/23/2023,11:26:45,27.2
10/23/2023,11:40:49,27
10/23/2023,11:54:52,27
10/23/2023,12:08:58,27
10/23/2023,12:23:02,27
10/23/2023,12:37:06,27.1
10/23/2023,12:51:09,27
10/23/2023,13:20:40,27.1
10/23/2023,13:34:45,27.1
10/23/2023,13:48:49,27
10/23/2023,14:02:52,27.3
10/23/2023,14:16:56,27.4
10/23/2023,14:31:00,27.4
10/23/2023,14:45:04,27.5
10/23/2023,14:59:08,27.8
10/23/2023,15:13:12,27.6
10/23/2023,15:27:15,27.5
10/23/2023,15:41:19,28.1
10/23/2023,15:55:22,28.2
10/23/2023,16:09:26,28.3
10/23/2023,16:23:29,27.9
10/23/2023,16:37:33,28
10/23/2023,16:51:37,28.2
10/23/2023,17:05:40,28
10/23/2023,17:19:43,27.9
10/23/2023,17:33:47,27.8
10/23/2023,17:47:51,27.6
10/23/2023,18:01:55,27.9
10/23/2023,18:15:58,28.2
10/23/2023,18:30:02,28.3
10/23/2023,18:44:05,28.2
10/23/2023,18:58:09,28.3
10/23/2023,19:12:12,28.3
10/23/2023,19:26:16,28.2
10/23/2023,19:40:19,28.3
10/23/2023,19:54:23,28.3
10/23/2023,20:08:27,28.2
10/23/2023,20:22:31,28.3
10/23/2023,20:36:36,28.2
10/23/2023,20:50:41,28.2
10/23/2023,21:04:44,28.2
10/23/2023,21:18:48,28.3
10/23/2023,21:32:52,28.2
10/23/2023,21:46:56,28.3
10/23/2023,22:00:59,28.2
10/23/2023,22:15:03,28.2
10/23/2023,22:29:07,27.7
10/23/2023,22:43:12,28.2
10/23/2023,22:57:16,28.2
10/23/2023,23:11:20,28.2
10/23/2023,23:25:24,28.2
10/23/2023,23:39:27,28.2
10/23/2023,23:53:31,28.1
10/24/2023,0:07:35,27.7
10/24/2023,0:21:38,27.5
10/24/2023,0:35:42,27.4
10/24/2023,0:49:46,27.5
10/24/2023,1:03:50,27.6
10/24/2023,1:17:53,27.6
10/24/2023,1:31:57,27.8
10/24/2023,1:46:00,28
10/24/2023,2:00:04,27.9
10/24/2023,2:14:07,27.2
10/24/2023,2:28:11,27.8
10/24/2023,2:42:15,27.9
10/24/2023,2:56:19,27.3
10/24/2023,3:10:23,27.3
10/24/2023,3:24:28,27.8
10/24/2023,3:38:32,27.8
10/24/2023,3:52:35,27.4
10/24/2023,4:06:39,26.9
10/24/2023,4:20:42,26.7
10/24/2023,4:34:47,26.5
10/24/2023,4:48:51,26.5
10/24/2023,5:02:55,26.4
10/24/2023,5:16:58,26
10/24/2023,5:31:02,26
10/24/2023,5:45:05,26.2
10/24/2023,5:59:09,25.7
10/24/2023,6:13:12,25.6
10/24/2023,6:27:16,25.6
10/24/2023,6:41:19,25.8
10/24/2023,6:55:23,25.9
10/24/2023,7:09:27,25.9
10/24/2023,7:23:30,26.7
10/24/2023,7:37:34,26.4
10/24/2023,7:51:37,26.4
10/24/2023,8:05:42,26.5
10/24/2023,8:19:53,26.6
10/24/2023,8:33:49,26.7
10/24/2023,8:47:58,27.2
10/24/2023,9:02:14,27.3
10/24/2023,9:16:19,26.8
10/24/2023,9:30:23,27.3
10/24/2023,9:44:27,27.4
10/24/2023,9:58:31,27
10/24/2023,10:12:36,27.2
10/24/2023,10:26:41,27.1
10/24/2023,10:40:45,27.1
10/24/2023,10:54:50,27.4
10/24/2023,11:08:55,27.6
10/24/2023,11:23:08,27.7
10/24/2023,11:37:12,27.8
10/24/2023,11:51:17,27.3
10/24/2023,12:05:21,27.8
10/24/2023,12:19:25,27.4
10/24/2023,12:33:31,27.9
10/24/2023,12:47:36,28
10/24/2023,13:01:40,27.7
10/24/2023,13:15:44,28.3
10/24/2023,13:29:48,27.8
10/24/2023,13:43:52,27.9
10/24/2023,13:57:56,28
10/24/2023,14:12:00,28.6
10/24/2023,14:26:04,28.6
10/24/2023,14:40:08,28.6
10/24/2023,14:54:12,28.6
10/24/2023,15:08:16,28
10/24/2023,15:22:20,28.5
10/24/2023,15:36:24,28.4
10/24/2023,15:50:29,28.5
10/24/2023,16:04:33,28.5
10/24/2023,16:18:36,28
10/24/2023,16:32:41,28.5
10/24/2023,16:46:45,27.9
10/24/2023,17:00:49,28.3
10/24/2023,17:14:56,28
10/24/2023,17:29:00,28.5
10/24/2023,17:43:05,28.5
10/24/2023,17:57:09,28.5
10/24/2023,18:11:13,28.5
10/24/2023,18:25:17,28.5
10/24/2023,18:39:22,28.5
10/24/2023,18:53:26,28.5
10/24/2023,19:07:30,27.6
10/24/2023,19:21:34,27.6
10/24/2023,19:35:40,27.6
10/24/2023,19:49:50,27.8
10/24/2023,20:03:54,27.7
10/24/2023,20:17:58,27.8
10/24/2023,20:32:02,27.9
10/24/2023,20:46:06,27.9
10/24/2023,21:00:10,27.9
10/24/2023,21:14:14,28.3
10/24/2023,21:28:18,27.9
10/24/2023,21:42:21,28
10/24/2023,21:56:26,28
10/24/2023,22:10:31,28
10/24/2023,22:24:36,27.9
10/24/2023,22:38:39,27.9
10/24/2023,22:52:44,27.9
10/24/2023,23:21:04,27.9
10/24/2023,23:35:13,27.9
10/24/2023,23:49:22,27.9
10/25/2023,0:03:28,27.9
10/25/2023,0:17:39,27.9
10/25/2023,0:31:43,27.9
10/25/2023,0:45:47,27.9
10/25/2023,0:59:51,27.9
10/25/2023,1:13:55,27.8
10/25/2023,1:27:58,27.8
10/25/2023,1:42:01,27.8
10/25/2023,1:56:05,27.8
10/25/2023,2:10:09,27.8
10/25/2023,2:24:13,27.8
10/25/2023,2:38:16,27.8
10/25/2023,2:52:20,27.7
10/25/2023,3:06:24,27.6
10/25/2023,3:20:28,27.2
10/25/2023,3:34:32,27.3
10/25/2023,3:48:36,27.2
10/25/2023,4:02:42,27
10/25/2023,4:16:47,27.3
10/25/2023,4:30:50,27.2
10/25/2023,4:44:55,27.3
10/25/2023,4:58:59,27.2
10/25/2023,5:13:03,27.1
10/25/2023,5:27:08,27.2
10/25/2023,5:41:12,27.2
10/25/2023,5:55:16,26.9
10/25/2023,6:09:20,27.2
10/25/2023,6:23:24,26.8
10/25/2023,6:37:28,27
10/25/2023,6:51:33,26.9
10/25/2023,7:05:37,27.3
10/25/2023,7:19:40,27.5
10/25/2023,7:33:44,27.8
10/25/2023,7:47:49,27.6
10/25/2023,8:01:52,27.7
10/25/2023,8:15:56,27.8
10/25/2023,8:30:01,27.7
10/25/2023,8:44:05,27.8
10/25/2023,8:58:09,28.1
10/25/2023,9:12:13,28.1
10/25/2023,9:26:17,28.3
10/25/2023,9:40:21,28.5
10/25/2023,9:54:25,28.3
10/25/2023,10:08:29,28.4
10/25/2023,10:22:33,28.8
10/25/2023,10:36:37,28.8
10/25/2023,10:50:41,28.7
10/25/2023,11:04:45,28.1
10/25/2023,11:18:49,28.5
10/25/2023,11:32:53,28.4
10/25/2023,11:46:57,28.2
10/25/2023,12:01:01,28.7
10/25/2023,12:15:05,28.4
10/25/2023,12:29:08,28.3
10/25/2023,12:43:12,28.5
10/25/2023,12:57:17,28.7
10/25/2023,13:11:21,28.8
10/25/2023,13:25:26,28.2
10/25/2023,13:39:30,28.8
10/25/2023,13:53:34,28.8
10/25/2023,14:07:40,28.3
10/25/2023,14:21:45,28.7
10/25/2023,14:35:49,28.6
10/25/2023,14:49:53,28.6
10/25/2023,15:03:57,28.7
10/25/2023,15:18:01,28.6
10/25/2023,15:32:05,28.5
10/25/2023,15:46:10,29.1
10/25/2023,16:00:14,29
10/25/2023,16:14:18,28.6
10/25/2023,16:28:23,29
10/25/2023,16:42:27,28.7
10/25/2023,16:56:31,28.7
10/25/2023,17:10:35,28.6
10/25/2023,17:24:39,29.1
10/25/2023,17:38:43,29.1
10/25/2023,17:52:48,29
10/25/2023,18:06:52,28.6
10/25/2023,18:20:56,29.1
10/25/2023,18:35:01,29.1
10/25/2023,18:49:05,28.4
10/25/2023,19:03:09,28.6
10/25/2023,19:17:14,28.6
10/25/2023,19:31:18,28.5
10/25/2023,19:45:23,28.6
10/25/2023,19:59:27,28.6
10/25/2023,20:27:48,28.7
10/25/2023,20:41:52,28.6
10/25/2023,20:55:56,28.5
10/25/2023,21:10:01,28.5
10/25/2023,21:24:05,28.5
10/25/2023,21:38:09,29
10/25/2023,21:52:13,28.4
10/25/2023,22:06:17,28.2
10/25/2023,22:20:20,28.3
10/25/2023,22:34:24,28.1
10/25/2023,23:02:36,28.5
10/25/2023,23:16:40,28.2
10/25/2023,23:30:46,28.4
10/25/2023,23:44:51,28.8
10/25/2023,23:58:55,28.8
10/26/2023,0:13:00,28.8
10/26/2023,0:27:04,28.8
10/26/2023,0:41:08,28.8
10/26/2023,0:55:12,28.8
10/26/2023,1:09:16,28.8
10/26/2023,1:23:20,28.7
10/26/2023,1:37:24,28.7
10/26/2023,1:51:28,28.2
10/26/2023,2:05:32,28.1
10/26/2023,2:19:36,28
10/26/2023,2:33:40,28
10/26/2023,2:47:44,28.1
10/26/2023,3:01:49,27.6
10/26/2023,3:15:53,27.3
10/26/2023,3:29:57,27.1
10/26/2023,3:44:01,27.4
10/26/2023,3:58:06,27.5
10/26/2023,4:12:10,27.3
10/26/2023,4:26:14,27.3
10/26/2023,4:40:19,27.1
10/26/2023,4:54:23,26.8
10/26/2023,5:08:27,27.2
10/26/2023,5:22:31,27
10/26/2023,5:36:36,27.2
10/26/2023,5:50:40,26.8
10/26/2023,6:04:44,26.6
10/26/2023,6:18:49,27
10/26/2023,6:32:53,27.3
10/26/2023,6:47:00,26.8
10/26/2023,7:01:05,26.9
10/26/2023,7:15:09,27.3
10/26/2023,7:29:13,27.4
10/26/2023,7:43:18,27.4
10/26/2023,7:57:22,27.1
10/26/2023,8:11:28,27.5
10/26/2023,8:25:33,27.6
10/26/2023,8:39:37,27.7
10/26/2023,8:53:41,27.8
10/26/2023,9:07:45,27.9
10/26/2023,9:21:49,27.9
10/26/2023,9:35:53,28
10/26/2023,9:49:57,27.7
10/26/2023,10:04:01,28.1
10/26/2023,10:18:06,28.5
10/26/2023,10:32:11,28
10/26/2023,10:46:15,28.4
10/26/2023,11:00:19,28.4
